,PSNR
969,38.9239124601482
970,41.3939949525371
971,30.2738616805769
972,43.0931962723919
973,34.7845604803623
974,34.4366496268506
975,40.1943785714298
976,38.5521785596162
977,37.208593181578
978,37.4569082389134
979,42.2717057145662
980,41.9338750889397
981,42.95602063112
982,40.8306209591463
983,35.0983486960931
984,43.0999980751045
985,43.7625909832914
986,37.9233072837881
987,39.6484875089369
988,37.9400329536004
989,35.9179592449758
990,43.3260480996408
991,42.2159565513706
992,43.9244162669019
993,39.2268228910574
994,41.8196800874631
995,41.8585654606291
996,43.465745406759
997,39.6723651713448
998,42.4127790526322
999,35.778661648648
